 ,Label,Area,Mean,StdDev,Mode,Min,Max,Perim.,Median
286,mCherry_D13_NMN+CR_P5.tif:0789-0977,4678,7.086,2.295,6,1,17,628.29,7
287,mCherry_D13_NMN+CR_P5.tif:Background,173259,5.031,1.389,5,0,14,1800,5
288,mCherry_D13_NMN_P1.tif:0427-0457,6272,6.604,1.634,6,2,13,697.762,7
289,mCherry_D13_NMN_P1.tif:0375-0656,7099,7.126,1.75,7,1,15,736.783,7
290,mCherry_D13_NMN_P1.tif:0191-0771,6420,6.992,1.703,7,1,18,750.295,7
291,mCherry_D13_NMN_P1.tif:0966-0627,3809,6.893,1.678,7,2,14,553.412,7
292,mCherry_D13_NMN_P1.tif:Background,114624,5.993,1.467,6,0,18,1880,6
293,mCherry_D13_NMN_P2.tif:0444-0300,5329,6.117,1.639,6,0,13,654.528,6
294,mCherry_D13_NMN_P2.tif:0757-0392,5535,6.044,1.578,6,0,15,611.979,6
295,mCherry_D13_NMN_P2.tif:0279-0876,5968,7.368,1.914,7,2,16,703.327,7
296,mCherry_D13_NMN_P2.tif:0805-0964,5201,6.797,1.987,6,0,17,633.175,7
297,mCherry_D13_NMN_P2.tif:Background,143310,5.598,1.467,6,0,69,1634,6
298,mCherry_D13_NMN_P3.tif:0277-0550,9255,6.6,1.63,6,0,14,905.43,7
299,mCherry_D13_NMN_P3.tif:0860-0785,5604,6.885,1.809,7,2,15,675.315,7
300,mCherry_D13_NMN_P3.tif:Background,221517,6.083,1.457,6,0,22,1884,6
301,mCherry_D13_NMN_P4.tif:0167-0186,5514,6.391,1.651,6,1,15,712.22,6
302,mCherry_D13_NMN_P4.tif:0893-0365,4162,6.695,1.698,7,2,13,661.086,7
303,mCherry_D13_NMN_P4.tif:0558-0989,4693,7.483,1.665,7,2,15,630.402,7
304,mCherry_D13_NMN_P4.tif:0401-1279,5272,8.12,2.618,7,2,28,687.394,8
305,mCherry_D13_NMN_P4.tif:Background,370080,5.991,1.499,6,0,99,2468,6
306,mCherry_D13_NMN_P5.tif:0800-0447,3883,7.288,1.887,7,2,15,603.745,7
307,mCherry_D13_NMN_P5.tif:0710-0572,3796,6.913,1.759,7,1,15,536.665,7
308,mCherry_D13_NMN_P5.tif:0857-0443,1232,7.375,2.021,7,2,15,233.93,7
309,mCherry_D13_NMN_P5.tif:0758-0489,2916,6.624,1.605,7,1,13,363.637,7
310,mCherry_D13_NMN_P5.tif:0165-0946,4576,7.516,1.767,7,2,21,615.781,7
311,mCherry_D13_NMN_P5.tif:Background,252047,6.198,1.493,6,0,100,2256,6
312,mCherry_D17_Con_P1.tif:0461-0475,4207,8.616,2.102,8,3,19,553.998,8
313,mCherry_D17_Con_P1.tif:0603-0652,4791,8.733,2.036,8,2,19,597.601,9
314,mCherry_D17_Con_P1.tif:0799-0660,3937,8.407,1.874,8,3,18,572.201,8
315,mCherry_D17_Con_P1.tif:Background,59392,6.915,1.495,7,1,26,976,7
316,mCherry_D17_Con_P2.tif:0620-0718,5905,8.297,1.669,8,2,16,622.147,8
317,mCherry_D17_Con_P2.tif:0521-0849,4675,8.556,1.812,8,3,22,577.441,8
318,mCherry_D17_Con_P2.tif:Background,46176,7.357,1.498,7,1,15,860,7
319,mCherry_D17_Con_P3.tif:0176-0539,7282,7.646,1.638,7,0,14,799.123,8
320,mCherry_D17_Con_P3.tif:0749-0779,4705,8.342,2.007,8,2,23,630.538,8
321,mCherry_D17_Con_P3.tif:Background,79112,7.226,1.508,7,1,15,1134,7
322,mCherry_D17_Con_P4.tif:0502-0496,3713,7.608,1.98,7,2,16,516.104,7
323,mCherry_D17_Con_P4.tif:0481-0927,4477,7.954,1.98,8,2,19,588.585,8
324,mCherry_D17_Con_P4.tif:0466-0910,2656,9.44,2.104,10,3,17,538.017,9
325,mCherry_D17_Con_P4.tif:0413-0954,4949,8.381,2.056,8,2,18,693.646,8
326,mCherry_D17_Con_P4.tif:Background,64020,6.429,1.468,6,0,13,1022,6
327,mCherry_D17_Con_P5.tif:0193-0464,3186,7.426,1.737,8,1,15,509.117,7
328,mCherry_D17_Con_P5.tif:0487-0679,3100,7.421,1.645,8,2,14,495.381,7
329,mCherry_D17_Con_P5.tif:0652-0585,4410,7.769,1.762,8,1,16,671.571,8
330,mCherry_D17_Con_P5.tif:0883-0744,4607,7.329,1.674,7,1,15,578.493,7
331,mCherry_D17_Con_P5.tif:Background,58032,6.526,1.495,6,1,61,1094,7
332,mCherry_D17_CR_P1.tif:0215-0258,3352,7.431,2.108,7,2,15,515.497,7
333,mCherry_D17_CR_P1.tif:0867-0764,2538,7.958,2.038,8,2,15,416.201,8
334,mCherry_D17_CR_P1.tif:0483-0764,3267,7.768,2.169,7,1,21,499.008,8
335,mCherry_D17_CR_P1.tif:0692-0991,3505,7.767,2.048,7,2,18,511.142,8
336,mCherry_D17_CR_P1.tif:0567-1066,2827,8.012,2.196,8,1,16,432.318,8
337,mCherry_D17_CR_P1.tif:Background,49770,5.983,1.446,6,1,13,1562,6
338,mCherry_D17_CR_P2.tif:0728-0238,3315,6.532,1.765,6,1,14,563.617,6
339,mCherry_D17_CR_P2.tif:0414-0603,2301,7.511,2.06,7,2,16,403.651,7
340,mCherry_D17_CR_P2.tif:0364-1139,1592,9.131,2.191,9,2,17,204.971,9
341,mCherry_D17_CR_P2.tif:Background,126768,5.782,1.448,6,0,19,2102,6
342,mCherry_D17_CR_P3.tif:0345-0352,3139,6.22,1.896,6,0,13,540.425,6
343,mCherry_D17_CR_P3.tif:0676-0382,3889,5.695,1.891,6,1,14,506.026,6
344,mCherry_D17_CR_P3.tif:0683-1067,2032,7.082,1.822,8,0,15,377.317,7
345,mCherry_D17_CR_P3.tif:0157-1019,3512,6.855,1.936,7,0,14,503.889,7
346,mCherry_D17_CR_P3.tif:Background,48450,4.783,1.413,5,0,18,1442,5
347,mCherry_D17_CR_P4_1.tif:0567-0692,2011,5.348,1.522,5,1,16,404.625,5
348,mCherry_D17_CR_P4_1.tif:Background,15470,4.874,1.379,5,0,16,498,5
349,mCherry_D17_CR_P4_2.tif:0450-0625,3185,7.005,2.367,6,0,18,470.575,7
350,mCherry_D17_CR_P4_2.tif:Background,16016,4.96,1.379,5,0,12,570,5
351,mCherry_D17_CR_P5.tif:0183-0401,2684,6.991,1.862,7,2,15,479.191,7
352,mCherry_D17_CR_P5.tif:0561-0805,2816,6.957,1.943,6,2,16,478.946,7
353,mCherry_D17_CR_P5.tif:0731-0902,2482,7.618,2.05,7,0,16,431.53,7
